基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,手续费
011891,易方达先锋成长混合A,2025-08-01,1.6698,1.6698,-1.01,12.35,27.45,77.68,50.57,99.47,32.27,53.12,60.4,66.98,66.98
019035,易方达全球医药行业混合发起式(QDII)C(人民币),2025-07-31,1.3984,1.3984,-0.85,4.75,27.58,50.79,97.88,99.43,,,96.05,57.32,
008284,易方达全球医药行业混合发起式(QDII)A(人民币),2025-07-31,1.4089,1.4089,-0.86,4.74,27.47,50.28,97.41,99.42,55.59,69.62,95.63,40.89,
018079,南方恒生生物科技ETF发起联接(QDII)C,2025-08-01,1.3908,1.3908,-2.38,1.93,19.83,37.78,78.33,99.34,37.43,,77.06,39.08,39.08
018836,广发成长启航混合C,2025-08-01,1.9171,1.9171,-0.91,0.51,7.21,19.14,39.24,99.32,,,37.2,91.71,91.71
020110,富国恒生港股通医疗保健ETF发起式联接A,2025-08-01,1.5419,1.5419,-2.34,2.43,21.65,41.95,76.44,99.16,,,77.13,54.19,54.19
019416,南方港股医药行业混合发起(QDII)C,2025-07-31,1.5528,1.5528,-1.03,4.65,23.95,40.51,83.96,99.13,,,81.68,55.28,
001412,德邦鑫星价值灵活配置混合A,2025-08-01,2.2055,2.3435,-2.47,10.17,22.35,60.37,27.99,98.94,101.42,71.97,32.07,150.81,150.813432
020111,富国恒生港股通医疗保健ETF发起式联接C,2025-08-01,1.5367,1.5367,-2.34,2.43,21.62,41.88,76.27,98.77,,,76.92,53.67,53.67
013037,长城大健康混合A,2025-08-01,1.2024,1.2024,-0.55,6.53,24.63,49.78,91.16,98.74,61.37,29,86.04,20.24,20.24
002112,德邦鑫星价值灵活配置混合C,2025-08-01,2.1205,2.2685,-2.47,10.17,22.35,60.32,27.93,98.73,101.01,71.45,32,147.07,147.06608
011892,易方达先锋成长混合C,2025-08-01,1.6441,1.6441,-1.01,12.34,27.41,77.51,50.27,98.68,31.21,51.28,60.04,64.41,64.41
006881,华宝大健康混合A,2025-08-01,2.8723,2.8723,-1.39,5.93,20.37,41.89,98.21,98.24,86.5,63.48,93.37,187.23,187.23
001437,易方达瑞享混合I,2025-08-01,4.8256,4.8256,-0.62,12.61,27.89,78.89,50.23,98.18,41.6,61.55,60.26,382.56,382.56
001438,易方达瑞享混合E,2025-08-01,3.9093,3.9093,-0.62,12.61,27.87,78.8,50.08,97.74,41.03,60.61,60.08,290.93,290.93
013038,长城大健康混合C,2025-08-01,1.1682,1.1682,-0.55,6.51,24.55,49.48,90.38,97.16,58.81,25.95,85.19,16.82,16.82
018529,华宝大健康混合C,2025-08-01,2.8331,2.8331,-1.39,5.91,20.31,41.71,97.68,97.15,84.16,,92.75,59.47,59.467522
017515,易方达北证50成份指数A,2025-08-01,1.4428,1.4428,-0.21,-2.57,-2.43,6.91,33.11,96.3,68.75,,35.46,44.28,44.28
009414,中银大健康股票A,2025-08-01,1.7814,1.7814,-0.92,3.65,10.43,26.98,80.21,96.08,82.63,63.67,79.96,78.14,78.14
019916,富国医药创新股票A,2025-08-01,1.9039,1.9039,-1.1,4.31,19.14,41.01,93.21,96.06,,,90.41,90.39,90.39
005699,工银新经济人民币,2025-07-31,1.6011,1.6011,-0.56,5.97,22.58,39.61,90.13,95.81,46.17,46.3,87.44,60.11,
017516,易方达北证50成份指数C,2025-08-01,1.4317,1.4317,-0.22,-2.57,-2.45,6.84,32.91,95.72,67.74,,35.22,43.17,43.17
019993,创金合信北证50成份指数增强A,2025-08-01,1.6084,1.6084,-0.08,-2.41,-2.72,4.81,31.32,95.41,,,34.13,60.84,60.84
010321,中银大健康股票C,2025-08-01,1.7487,1.7487,-0.92,3.65,10.39,26.86,79.87,95.36,81.23,61.77,79.56,44.58,44.580405
015289,格林高股息优选混合A,2025-08-01,1.6935,1.6935,-0.52,-0.81,7.45,18.48,38.02,94.95,64.53,,51.19,69.35,69.35
019994,创金合信北证50成份指数增强C,2025-08-01,1.6009,1.6009,-0.07,-2.41,-2.74,4.74,31.12,94.83,,,33.9,60.09,60.09
019917,富国医药创新股票C,2025-08-01,1.8865,1.8865,-1.1,4.3,19.09,40.77,92.6,94.75,,,89.73,88.65,88.65
011673,长城医药科技六个月持有混合A,2025-08-01,0.9884,0.9884,-0.61,6.39,23.44,48.19,86.39,94.53,59.81,25.73,81.72,-1.16,-1.16
016295,新华利率债债券E,2025-08-01,1.5526,1.9977,0.01,0.1,-0.33,-0.25,-0.18,94.51,96.8,,0.03,99.8,99.79556
015290,格林高股息优选混合C,2025-08-01,1.6763,1.6763,-0.52,-0.82,7.41,18.37,37.68,94.08,63,,50.79,67.63,67.63
003032,平安医疗健康混合A,2025-08-01,2.8893,2.8893,-1.57,1.95,14.92,34.24,84.81,93.57,80.07,55.93,85.9,188.9,188.90111
011674,长城医药科技六个月持有混合C,2025-08-01,0.9681,0.9681,-0.63,6.37,23.39,48,85.92,93.54,58.21,23.86,81.19,-3.19,-3.19
011826,汇添富健康生活一年持有混合A,2025-08-01,1.639,1.639,-1.11,5.75,17.23,38.01,95.12,93.44,91.23,80.41,91.09,63.9,63.9
011827,汇添富健康生活一年持有混合C,2025-08-01,1.6107,1.6107,-1.12,5.74,17.19,37.87,94.69,92.67,89.72,78.25,90.64,61.07,61.07
020137,平安医疗健康混合C,2025-08-01,2.8691,2.8691,-1.57,1.95,14.88,33.96,84.28,92.66,,,85.32,66.37,66.372862
007718,中银创新医疗混合A,2025-08-01,2.1897,2.2452,-1.39,3.35,15.58,28.75,85.16,92.5,65.81,64,81.97,127.64,127.635122
005117,金信价值精选混合A,2025-08-01,1.8578,1.8578,1.18,2.77,15.71,48.99,70.17,92.48,58.81,48.71,65.56,85.78,85.78
005118,金信价值精选混合C,2025-08-01,1.5941,1.7702,1.19,2.77,15.71,48.97,70.09,92.27,58.47,48.27,65.48,86.67,86.671906
001148,申万菱信多策略灵活配置混合A,2025-08-01,2.217,2.42,0.68,-0.72,5.47,10.13,28.08,91.95,51.12,40.32,30.49,168.6,168.601211
010500,中银创新医疗混合C,2025-08-01,2.1548,2.2097,-1.39,3.35,15.54,28.78,85.01,91.91,64.93,62.49,81.78,25.25,25.248671
001970,泰信鑫选灵活配置混合A,2025-08-01,1.243,1.243,-0.08,-0.08,2.14,-3.79,7.43,91.82,39.19,0,20.8,24.3,24.3
002580,泰信鑫选灵活配置混合C,2025-08-01,1.234,1.234,0.0,-0.08,2.15,-3.74,7.49,91.61,38.96,-0.24,20.86,22.91,22.908367
001724,申万菱信多策略灵活配置混合C,2025-08-01,2.144,2.25,0.7,-0.74,5.46,10.12,27.92,91.6,50.46,39.4,30.33,131.12,131.121569
010115,易方达远见成长混合A,2025-08-01,1.5255,1.5255,-1.05,12.45,27.16,77.8,49.13,91.48,29.35,45.52,58.63,52.55,52.55
005689,中银医疗保健混合A,2025-08-01,2.8133,3.2768,-0.12,4.43,11.26,28.7,77.19,90.9,78.12,63.02,76.4,262.62,262.61691
014424,博时恒生医疗保健ETF发起式联接(QDII)A,2025-08-01,1.0456,1.0456,-2.29,1.82,18.21,34.45,69.93,90.73,26.22,19.32,68.73,4.56,4.56
011412,易方达远见成长混合C,2025-08-01,1.4988,1.4988,-1.05,12.45,27.12,77.6,48.84,90.71,28.31,43.78,58.25,49.88,49.88
014425,博时恒生医疗保健ETF发起式联接(QDII)C,2025-08-01,1.0393,1.0393,-2.28,1.82,18.18,34.38,69.76,90.38,25.72,18.6,68.53,3.93,3.93
018956,中航机遇领航混合发起A,2025-08-01,2.0505,2.0505,-1.91,10.05,26.69,80.26,47.69,90.2,,,52.83,105.05,105.05
