基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,手续费
019821,鹏华远见精选混合发起式C,2025-08-01,1.5421,1.5421,-0.45,5.32,15.05,28.4,49.73,65.28,,,53.83,54.21,54.21
018590,银华体育文化灵活配置混合C,2025-08-01,1.758,1.758,1.8,3.72,6.16,18.62,19.27,65.23,7.72,,23.98,-13.31,-13.313609
015849,富国创新企业灵活配置混合(LOF)C,2025-08-01,2.0665,2.0665,-1.3,2.9,9.07,6.85,12.22,65.21,30.91,12.6,18.81,6.66,6.66357
016067,鹏华新能源汽车混合A,2025-08-01,0.8597,0.8597,-0.36,-3.07,4.41,2.52,11.36,65.2,28.85,-14.1,22.59,-14.03,-14.03
006781,汇丰晋信港股通精选股票,2025-08-01,1.0192,1.0192,-1.52,-0.74,7.56,18.5,37.9,65.19,20.37,18.1,32.99,1.92,1.92
012876,富荣福耀混合A,2025-08-01,0.9905,0.9905,1.21,0.3,8.07,22.68,34.54,65.19,14.05,5.72,35.44,-0.95,-0.95
008072,景顺长城创业板综指增强A,2025-08-01,1.7632,1.7632,0.23,0.03,6.22,22.05,24.19,65.17,35.52,17.83,23.95,76.32,76.32
009223,宝盈现代服务业混合A,2025-08-01,1.2424,1.2424,-1.69,2.26,12.2,22.3,57.87,65.12,60.85,44,55.49,24.24,24.24
017434,华宝中证沪港深新消费指数A,2025-08-01,1.2967,1.2967,-0.51,-2.48,0.97,5.59,21.1,64.91,32.67,,22.07,29.67,29.67
015032,国联医药消费混合A,2025-08-01,1.0814,1.0814,-0.28,3.21,14.06,29.37,55.31,64.85,23.86,6.84,51.95,8.14,8.14
610001,信澳领先增长混合A,2025-08-01,1.5036,2.0557,-0.23,-0.61,-0.63,3.48,8.65,64.85,28.27,-1.78,14.37,127.03,127.032205
014117,国泰中证沪港深创新药产业ETF发起联接A,2025-08-01,0.8365,0.8365,-1.74,3.04,18,30.54,48.63,64.8,21.23,10.2,48.45,-16.35,-16.35
168701,合煦智远金融科技指数(LOF)A,2025-08-01,1.1968,1.1968,-0.32,-1.38,2.77,15.71,17.64,64.71,15.41,36.17,12.35,19.68,19.68
014592,广发瑞誉一年持有期混合C,2025-08-01,1.3556,1.3556,-1.73,0.13,8.14,18.16,33.19,64.65,32.47,31.14,32.86,35.56,35.56
010110,广发医药健康混合A,2025-08-01,0.6891,0.6891,-1.44,4.46,15.78,29.24,62.29,64.62,37.6,3.89,58.82,-31.09,-31.09
014540,华安优势精选混合C,2025-08-01,0.8237,0.8237,-2.02,2.99,17.91,22.41,34.24,64.61,15.28,-12.45,35.08,-17.63,-17.63
017435,华宝中证沪港深新消费指数C,2025-08-01,1.2866,1.2866,-0.51,-2.49,0.96,5.52,20.88,64.59,32.07,,21.83,28.66,28.66
012877,富荣福耀混合C,2025-08-01,0.9762,0.9762,1.21,0.31,8.03,22.56,34.3,64.57,13.13,4.45,35.13,-2.38,-2.38
019239,景顺长城创业板综指增强C,2025-08-01,1.7491,1.7491,0.22,0.02,6.18,21.91,23.92,64.53,,,23.66,43.03,43.028866
001753,红土创新新兴产业混合,2025-08-01,1.653,1.653,-2.71,9.83,25.23,45.25,39.02,64.48,37.18,-13.68,50.27,65.3,65.3
021358,东财中证沪港深互联网ETF发起式联接E,2025-08-01,0.8395,0.8395,-0.62,-1.95,3.11,7.45,19.38,64.45,,,18.74,41.71,41.711681
015774,长信多利混合E,2025-08-01,1.8903,1.8903,-1.27,-1.42,-1.67,12.05,26.91,64.39,27.16,8.32,30.84,13.68,13.681742
018209,富国精准医疗混合C,2025-08-01,3.5843,3.5843,0.83,4.27,11.34,27.23,63.86,64.34,80.03,,62.42,49.89,49.889182
009224,宝盈现代服务业混合C,2025-08-01,1.2108,1.2108,-1.7,2.25,12.15,22.15,57.45,64.29,59.15,41.78,55.03,21.08,21.08
014118,国泰中证沪港深创新药产业ETF发起联接C,2025-08-01,0.8272,0.8272,-1.75,3.04,17.97,30.43,48.4,64.29,20.48,9.2,48.16,-17.28,-17.28
016068,鹏华新能源汽车混合C,2025-08-01,0.8443,0.8443,-0.35,-3.08,4.35,2.35,11.02,64.23,27.33,-15.63,22.17,-15.57,-15.57
013488,长信多利混合C,2025-08-01,1.873,1.873,-1.27,-1.42,-1.67,11.99,26.9,64.05,26.79,7.82,30.82,-6.71,-6.713816
010111,广发医药健康混合C,2025-08-01,0.676,0.676,-1.43,4.47,15.75,29.11,61.95,64,36.51,2.66,58.46,-32.4,-32.4
015033,国联医药消费混合C,2025-08-01,1.0628,1.0628,-0.27,3.19,14.01,29.17,54.88,63.99,22.57,5.22,51.46,6.28,6.28
168702,合煦智远金融科技指数(LOF)C,2025-08-01,1.1654,1.1654,-0.33,-1.4,2.73,15.57,17.35,63.89,14.27,34.15,12.03,16.54,16.54
015456,信澳领先增长混合C,2025-08-01,1.4747,1.4747,-0.23,-0.62,-0.68,3.33,8.31,63.89,26.75,-3.53,13.96,1.24,1.23567
017479,广发医药精选股票A,2025-08-01,1.2855,1.2855,-1.41,2.14,14.31,33.57,58.22,63.84,27.04,,54.08,28.55,28.55
