基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,手续费
015690,富国中小盘精选混合C,2025-08-01,3.497,3.497,-1.71,4.58,12.7,22.32,31.12,54.6,29.76,21.97,36.34,38.11,38.112164
006265,红土创新新科技股票,2025-08-01,3.3466,3.3966,-1.19,6.63,15.57,27.53,25.18,54.56,26.41,-18.35,33.03,239.75,239.750507
210009,金鹰核心资源混合A,2025-08-01,2.3753,2.4753,0.18,0.35,3.85,16.38,20.09,54.56,38.83,73.89,23.53,160.02,160.019792
003116,光大诚鑫混合C,2025-08-01,1.4938,1.6978,0.8,-0.53,3.38,16.81,24.74,54.54,27.42,25.11,27.76,75.35,75.354702
012637,国泰中证全指软件ETF联接C,2025-08-01,0.8838,0.8838,0.25,0.1,6.58,10.28,12.17,54.54,-7.16,13.15,12.2,-11.62,-11.62
019030,信澳星耀智选混合A,2025-08-01,1.3467,1.3467,0.67,-0.19,5.48,16.61,24.33,54.53,,,23.98,34.67,34.67
002152,华宝核心优势混合A,2025-08-01,2.871,2.871,-2.55,4.59,18.88,54.27,34.6,54.52,45.81,44.63,33.97,187.1,187.1
012223,信澳成长精选混合A,2025-08-01,0.5958,0.5958,-1.36,2.88,14.36,22.9,23,54.51,5.68,-33.45,29.61,-40.42,-40.42
501005,汇添富中证精准医疗指数(LOF)A,2025-08-01,1.0463,1.0463,-0.55,1.93,13.4,23.38,41.91,54.5,10.71,-6.28,39.19,4.63,4.63
021672,国泰中证全指软件ETF联接E,2025-08-01,0.8916,0.8916,0.25,0.1,6.57,10.28,12.17,54.5,,,12.21,43.39,43.390158
013533,广发科技创新混合C,2025-08-01,2.0566,2.0566,0.68,3.26,12.93,20.8,38.82,54.49,35.3,3.74,34.92,-6.85,-6.848446
001198,东方惠新灵活配置混合A,2025-08-01,1.1003,1.3305,-1.07,-2.58,2,3.42,16.09,54.43,46.1,10.04,11.31,33.73,33.733117
015151,恒越匠心优选一年持有混合C,2025-08-01,1.1136,1.1136,-1.29,-2.69,-12.82,0.51,33,54.43,20.25,,39.93,11.36,11.36
012051,申万菱信乐道三年持有期混合,2025-08-01,1.0588,1.0588,0.97,5.41,15.02,12.71,11.73,54.41,12.55,3.39,11.76,5.88,5.88
015389,宝盈转型动力混合C,2025-08-01,1.5492,1.5492,-1.66,7.68,19.31,52.21,30.99,54.41,74.93,64.23,38.36,78.03,78.02804
019392,嘉实匠心严选混合A,2025-08-01,1.5201,1.5201,-0.42,-1.88,3.99,4,23.01,54.4,,,25.63,52.01,52.01
018386,招商中证全指软件ETF发起式联接C,2025-08-01,0.8815,0.8815,0.2,0.08,6.6,10.69,12.81,54.38,-6.58,,12.98,-11.85,-11.85
001892,长盛新兴成长混合,2025-08-01,2.351,2.351,-0.59,0.26,4.44,11.95,15.53,54.37,24.92,8.34,15.64,135.1,135.1
017954,汇添富中证1000指数增强C,2025-08-01,1.3068,1.3068,0.19,-0.13,6.54,18.4,25.48,54.36,26.96,,25,30.68,30.68
011403,融通鑫新成长混合A,2025-08-01,1.4074,1.4074,0.46,-0.12,9.46,23.11,36.36,54.35,15.33,24.26,29.13,40.74,40.74
011601,前海开源公共卫生股票A,2025-08-01,0.4867,0.4867,-1.44,3.07,17.99,32.51,57.36,54.31,16.27,-14.51,54.26,-51.33,-51.33
013955,广发中小盘精选混合C,2025-08-01,2.1013,2.1013,-1.37,-1.29,4.4,13.76,26.8,54.25,18.06,4.59,23.51,14.91,14.913048
005707,富国港股通量化精选股票A,2025-08-01,1.308,1.308,-1.1,-2.66,3.91,13.17,28.49,54.23,42.28,55.27,28.24,30.8,30.8
