基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,手续费
018730,华夏招鑫鸿瑞混合A,2025-08-01,1.6994,1.6994,0.06,3.2,8.53,19.18,25.57,73.28,,,28.14,69.94,69.94
019918,招商中证2000指数增强A,2025-08-01,1.543,1.543,0.84,0.37,7.14,22.97,29.55,73.25,,,33.71,54.3,54.3
004223,金信多策略精选混合A,2025-08-01,1.6911,2.459,-0.86,0.99,6.67,12.22,16.58,73.07,32.4,7.98,17.72,200.64,200.64484
012481,泓德医疗创新混合发起式A,2025-08-01,1.0346,1.0346,-2.3,4.93,21.96,40.32,57.69,72.89,21.69,,55.16,3.46,3.46
015967,永赢半导体产业智选混合发起A,2025-08-01,1.2839,1.2839,-1.7,-4.49,5.26,9.12,23.94,72.87,41.43,,30.76,28.39,28.39
460010,华泰柏瑞亚洲领导企业混合,2025-07-31,1.144,1.144,-2.89,-4.19,4.95,12.6,28.54,72.81,19.54,25.85,27.82,14.4,
015271,财通多策略升级混合(LOF)C,2025-08-01,1.671,1.671,-0.42,2.08,11.4,40.3,26.59,72.8,52.46,30.65,38.79,45.81,45.811518
007484,信澳核心科技混合A,2025-08-01,1.5797,2.2196,1.35,2.25,9.81,16,28.39,72.76,13.62,-4.35,26.65,120.52,120.51873
019919,招商中证2000指数增强C,2025-08-01,1.5358,1.5358,0.84,0.37,7.11,22.87,29.35,72.74,,,33.47,53.58,53.58
017511,鹏华稳健回报混合C,2025-08-01,1.2556,1.2556,0.65,5.88,11.97,30.45,31.89,72.69,34.16,,33.49,25.56,25.56
017290,中欧科创主题混合(LOF)C,2025-08-01,2.3101,2.3101,-1.58,-2.63,5.68,6.57,21.31,72.65,60.08,,30.43,40.89,40.885528
020592,金信多策略精选混合C,2025-08-01,1.6837,1.6837,-0.86,0.97,6.61,12.04,16.2,72.49,,,17.29,59.08,59.079743
008842,同泰远见混合A,2025-08-01,0.792,0.792,0.41,-2.16,0.49,12.42,50.51,72.4,32.09,-1.83,50.77,-20.8,-20.8
001040,新华策略精选股票,2025-08-01,1.7828,2.2208,-1.08,7.35,15.82,41.73,31.07,72.27,30.73,1.64,39.24,122.86,122.862724
018731,华夏招鑫鸿瑞混合C,2025-08-01,1.6839,1.6839,0.06,3.19,8.48,19,25.2,72.25,,,27.7,68.39,68.39
015968,永赢半导体产业智选混合发起C,2025-08-01,1.2688,1.2688,-1.7,-4.49,5.23,9.01,23.74,72.11,40.25,,30.49,26.88,26.88
014543,汇添富中证沪港深云计算产业指数发起式A,2025-08-01,1.2996,1.2996,-1.22,1.23,12.26,20.6,29.12,72.06,32.32,75.76,28.92,29.96,29.96
000339,长城医疗保健混合A,2025-08-01,3.6686,3.6686,0.38,4.74,15.87,36.22,65.58,72.04,39.32,9.67,61.77,266.86,266.86
010350,景顺长城品质长青混合A,2025-08-01,1.3937,1.3937,-1.94,2.06,10.66,23.65,30.77,72.02,71.66,74.74,34.33,39.37,39.37
015739,国泰中证港股通科技ETF发起联接A,2025-08-01,1.262,1.262,-1.17,-3.28,5.25,9.73,28.57,71.96,31.09,31.12,31.98,26.2,26.2
008843,同泰远见混合C,2025-08-01,0.7765,0.7765,0.39,-2.18,0.44,12.29,50.19,71.68,31.01,-3.02,50.43,-22.35,-22.35
015740,国泰中证港股通科技ETF发起联接C,2025-08-01,1.2582,1.2582,-1.17,-3.27,5.24,9.68,28.44,71.6,30.56,30.33,31.83,25.82,25.82
017648,信澳聚优智选混合A,2025-08-01,1.1872,1.1872,1.42,2.31,10.2,16.3,26.59,71.49,17.39,,26.42,18.72,18.72
018203,信澳核心科技混合C,2025-08-01,1.5524,1.5524,1.35,2.23,9.76,15.82,27.99,71.44,11.93,,26.2,2,1.997372
012535,万家全球成长一年持有期混合(QDII)A,2025-07-31,0.7935,0.7935,2.76,4.63,13.7,19.2,39.82,71.42,30.04,15.3,47.22,-20.65,
021464,海富通中证港股通科技ETF发起联接A,2025-08-01,1.6184,1.6184,-1.12,-3.29,5.51,9.84,28.54,71.39,,,32.73,61.84,61.84
