基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,手续费
019265,南方港股数字经济混合发起(QDII)A,2025-07-31,1.6674,1.6674,-1.13,-1.26,4.56,11.94,23.38,52.71,,,23.99,66.74,
002943,广发多因子混合,2025-08-01,4.1597,4.4,-0.5,-0.5,5.16,11.54,16.63,52.7,22.42,20.78,17.42,371.03,371.033201
009870,嘉实产业先锋混合C,2025-08-01,0.9038,0.9038,-1.22,-2.28,5.65,11.95,25.62,52.69,4.89,-5.65,24.73,-9.62,-9.62
012457,鹏扬数字经济先锋混合C,2025-08-01,0.7178,0.7178,-1.21,1.21,9.25,12.1,10.81,52.66,28.34,-15.51,15.09,-28.22,-28.22
012492,华商核心引力混合C,2025-08-01,0.9811,0.9811,-2.3,3.38,13.84,19.68,31.32,52.65,13.99,10.21,30.97,-1.89,-1.89
004745,长盛创新驱动混合A,2025-08-01,2.3429,2.3429,-0.55,0.58,4.95,12.03,14.92,52.63,22.8,-2.13,15.16,134.29,134.29
012997,鹏华优选回报混合C,2025-08-01,0.7294,0.7294,-0.19,0,-2.15,11.77,24.98,52.63,-1.57,-28.45,25.52,-27.06,-27.06
011070,工银成长精选混合C,2025-08-01,0.7966,0.7966,-1.24,4.97,16.38,30.33,60.22,52.61,17.22,6.9,59.16,-20.34,-20.34
009009,平安科技创新混合C,2025-08-01,1.5764,1.5764,-2.7,3.27,13.96,21.61,28.39,52.59,16.42,-8.02,35.21,57.64,57.64
017612,宏利复兴混合C,2025-08-01,1.631,1.631,-2.16,4.35,16.92,25.08,16.5,52.57,36.03,,25.27,39.64,39.640411
017470,嘉实上证科创板芯片ETF发起联接C,2025-08-01,1.3506,1.3506,-1.44,-1.29,3.54,1.53,11.12,52.56,29.93,,8.34,35.06,35.06
018876,兴合先进制造混合发起式A,2025-08-01,1.4573,1.4573,-0.57,0.92,5.89,17.36,17.23,52.56,,,20.56,45.73,45.73
009707,工银新兴制造混合A,2025-08-01,1.9559,1.9559,-1.62,-1.74,4.43,1.76,8.34,52.52,49.8,40.32,11.97,95.59,95.59
360011,光大保德信动态优选灵活配置混合A,2025-08-01,0.991,2.789,0.2,0.51,6.79,0.2,12.1,52.46,8.9,3.66,18.4,320.03,320.033549
019785,广发上证科创板成长ETF发起式联接A,2025-08-01,1.2745,1.2745,-0.68,1.46,7.09,7.71,19.07,52.45,,,20.65,27.45,27.45
010372,大成成长进取混合C,2025-08-01,1.2648,1.2648,-0.75,2.63,8.49,13.45,15.96,52.44,26.34,17.02,18.52,26.48,26.48
