基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,手续费
016937,博时中证1000指数增强C,2025-08-01,1.3508,1.3508,0.33,-0.14,6.37,17.09,22.12,53.64,30.19,,22.74,35.08,35.08
019031,信澳星耀智选混合C,2025-08-01,1.3311,1.3311,0.67,-0.19,5.43,16.43,23.95,53.62,,,23.55,33.11,33.11
160212,国泰估值优势混合(LOF)A,2025-08-01,3.3279,3.3279,0.0,0.43,4.38,3.91,11.5,53.58,23.11,0.27,30.15,232.79,232.79
018122,永赢数字经济智选混合发起A,2025-08-01,1.0609,1.0609,-1.86,-0.25,3.31,8.33,13.28,53.58,28.95,,19.04,6.09,6.09
011069,工银成长精选混合A,2025-08-01,0.8178,0.8178,-1.23,4.99,16.45,30.53,60.73,53.55,18.64,8.85,59.73,-18.22,-18.22
011404,融通鑫新成长混合C,2025-08-01,1.38,1.38,0.46,-0.12,9.41,22.95,36.01,53.5,14.12,22.34,28.76,38,38
019393,嘉实匠心严选混合C,2025-08-01,1.5061,1.5061,-0.42,-1.88,3.93,3.85,22.65,53.46,,,25.21,50.61,50.61
005105,富荣福康混合C,2025-08-01,1.1241,1.1241,1.17,2.35,8.57,28.34,45.7,53.44,10.4,2.85,37.91,12.41,12.41
005104,富荣福康混合A,2025-08-01,1.1407,1.1407,1.16,2.34,8.56,28.33,45.7,53.44,10.42,2.87,37.9,14.07,14.07
006887,诺德新生活混合A,2025-08-01,1.3787,1.3787,-1.27,9.21,24.17,54.6,21.06,53.43,8.99,18.57,28.29,37.87,37.87
002802,广发东财大数据精选混合A,2025-08-01,1.5809,1.5809,-0.09,0.98,6.93,17.92,20.08,53.35,22.96,10.45,24.72,58.09,58.09
017488,嘉实信息产业股票发起式A,2025-08-01,1.6207,1.6207,-0.4,2.7,13.97,16.21,17.53,53.32,23.78,,12.87,62.07,62.07
501208,中欧创新未来混合(LOF),2025-08-01,1.0632,1.0632,-1.9,-1.22,5.58,8.09,19.3,53.31,19.41,10.49,25.05,6.32,6.32
006888,诺德新生活混合C,2025-08-01,1.3758,1.3758,-1.26,9.22,24.17,54.57,20.99,53.29,8.77,18.32,28.22,37.58,37.58
014261,摩根沃享远见一年持有期混合A,2025-08-01,1.0246,1.0246,-1.71,3.18,15.03,30.89,33.19,53.29,30.09,1.65,37.14,2.46,2.46
001105,信澳转型创新股票A,2025-08-01,1.059,1.059,-1.21,6.75,14.24,20.2,15.61,53.26,30.1,-14.04,15.49,5.9,5.9
012224,信澳成长精选混合C,2025-08-01,0.5775,0.5775,-1.35,2.87,14.29,22.64,22.48,53.26,4,-35.02,28.99,-42.25,-42.25
012491,华商核心引力混合A,2025-08-01,0.9969,0.9969,-2.29,3.39,13.88,19.79,31.59,53.25,14.9,11.54,31.27,-0.31,-0.31
