基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,手续费
020698,国泰君安科创板量化选股股票发起A,2025-08-01,1.4586,1.4586,-0.1,0.84,10.58,18.04,24.87,55.55,,,24.26,45.86,45.86
040018,华安香港精选股票(QDII),2025-07-31,2.608,2.608,-0.5,-0.5,10.46,19.3,38.28,55.52,48.52,40.67,35.9,160.8,
000940,富国中小盘精选混合A,2025-08-01,3.561,3.561,-1.74,4.58,12.73,22.5,31.5,55.5,31.31,24.12,36.8,256.1,256.1
020837,华夏创业板中盘200ETF发起式联接A,2025-08-01,1.3731,1.3731,0.13,0.31,3.95,16.03,18.27,55.45,,,16.09,37.31,37.31
015868,国泰君安中证1000指数增强C,2025-08-01,1.2781,1.2781,0.24,-0.09,7.81,18.49,22.99,55.43,27.11,,22.41,27.81,27.81
008638,广发科技创新混合A,2025-08-01,2.1044,2.1044,0.68,3.27,12.98,20.98,39.24,55.41,36.93,5.62,35.39,110.44,110.44
011289,上银医疗健康混合C,2025-08-01,0.835,0.835,-1.59,3.74,14.78,28.36,52.04,55.41,28.96,20.37,49.72,-16.5,-16.5
015043,西部利得时代动力混合发起A,2025-08-01,1.1516,1.1516,0.2,2.84,7.97,13.12,16.19,55.41,37.31,13.03,21.3,15.16,15.16
010646,融通价值趋势混合A,2025-08-01,0.899,0.899,-1.83,2.49,12.11,24.67,34.16,55.35,40.42,10.09,32.73,-10.1,-10.1
019868,华夏云计算与大数据ETF联接A,2025-08-01,1.3099,1.3099,-0.49,1.39,11.24,16.89,17.89,55.29,,,16.3,30.99,30.99
016785,鹏华中证1000指数增强A,2025-08-01,1.358,1.358,0.47,0.32,7.02,17.31,24.05,55.27,27.51,,24.64,35.8,35.8
019703,易方达上证科创板成长ETF联接发起式C,2025-08-01,1.4799,1.4799,-0.68,1.43,6.69,7.61,19.31,55.26,,,21.08,47.99,47.99
021093,广发中证港股通互联网指数发起式C,2025-08-01,1.2947,1.2947,-1.41,-3.12,2.92,9.01,22.4,55.22,,,24,29.47,29.47
001075,宝盈转型动力混合A,2025-08-01,1.5743,1.5743,-1.66,7.69,19.35,52.4,31.32,55.18,76.65,66.68,38.75,57.43,57.43
015150,恒越匠心优选一年持有混合A,2025-08-01,1.1288,1.1288,-1.29,-2.68,-12.77,0.64,33.33,55.18,21.47,,40.33,12.88,12.88
009939,淳厚欣享一年持有期混合C,2025-08-01,1.8205,1.8205,-1.94,2.37,16.09,31.42,33.68,55.15,45.92,38.57,35.26,82.05,82.05
003231,创金合信医疗保健股票C,2025-08-01,2.1571,1.9702,0.41,6.35,20.62,28.56,51.6,55.13,16.29,-11.2,49.01,97.02,97.022229
019314,易方达中证港股通互联网ETF发起式联接C,2025-08-01,1.3692,1.3692,-1.37,-3.09,2.75,9.43,24.81,55.13,,,26.3,36.92,36.92
013915,大成红利优选一年持有混合发起C,2025-08-01,1.3068,1.3068,-0.4,-1.84,4.53,10.73,14.9,55.07,25.98,,12.31,30.68,30.68
018362,东方阿尔法瑞丰混合发起A,2025-08-01,1.1478,1.1478,1.75,5.13,20.23,23.99,30.94,55.02,11.42,,29.78,14.78,14.78
020838,华夏创业板中盘200ETF发起式联接C,2025-08-01,1.3671,1.3671,0.13,0.31,3.93,15.94,18.09,55.02,,,15.89,36.71,36.71
012636,国泰中证全指软件ETF联接A,2025-08-01,0.8947,0.8947,0.25,0.11,6.6,10.36,12.34,54.98,-6.61,14.16,12.4,-10.53,-10.53
