基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,手续费
021089,鹏华中证港股通医药卫生ETF发起式联接C,2025-08-01,1.7732,1.7732,-2.25,2.07,18.79,37.96,67.52,77.32,,,66.7,77.32,77.32
010377,广发价值核心混合A,2025-08-01,0.8436,0.8436,-1.08,-0.44,3.34,12.48,36.04,77.3,53.61,33.12,43.3,-15.64,-15.64
018240,嘉实制造升级股票发起式A,2025-08-01,1.3825,1.3825,-0.66,-1.4,8.69,14.61,20.23,77.15,38.11,,32.96,38.25,38.25
016076,华夏智造升级混合C,2025-08-01,0.9248,0.9248,-0.28,-2.45,1.4,3.03,8.76,77.06,11.69,,24.13,-7.52,-7.52
015143,中欧智能制造混合A,2025-08-01,1.5257,1.5257,-1.78,-1.97,6.09,8.61,25.43,77.02,73.87,37.44,34.48,52.57,52.57
017962,广发医药创新混合发起式A,2025-08-01,1.6269,1.6269,-0.87,5.59,25.19,48.52,81.88,76.95,,,76.19,62.69,62.69
019783,华安健康主题混合A,2025-08-01,1.5972,1.5972,-1.06,5.1,22.69,46.14,77.7,76.82,,,74.1,59.72,59.72
020828,东财北证50A,2025-08-01,1.8331,1.8331,-0.22,-2.6,-2.5,6.03,31.26,76.82,,,33.69,83.31,83.31
010378,广发价值核心混合C,2025-08-01,0.8284,0.8284,-1.09,-0.44,3.3,12.34,35.76,76.59,52.39,31.51,42.93,-17.16,-17.16
018241,嘉实制造升级股票发起式C,2025-08-01,1.372,1.372,-0.66,-1.4,8.66,14.5,20.02,76.55,37.08,,32.7,37.2,37.2
015881,中欧小盘成长混合C,2025-08-01,1.3867,1.3867,0.51,0.76,8.01,22.63,35.24,76.54,40.64,37.58,36.5,38.67,38.67
240020,华宝医药生物混合A,2025-08-01,3.772,4.672,-0.76,4.08,13.1,34.62,72.95,76.43,54.03,38.25,70.91,481.04,481.043649
007132,长城港股通价值精选混合A,2025-08-01,1.2052,1.2252,-1.36,-4.01,1.01,8.6,34.75,76.41,43.8,24.62,38.74,22.82,22.823077
012981,华夏创新医药龙头混合A,2025-08-01,1.0516,1.0516,-1.52,4.25,15.81,36.55,74.08,76.38,51.35,27.04,71.77,5.16,5.16
001691,南方香港成长灵活配置混合,2025-07-31,2.4001,2.4001,-1.55,-1.47,2.48,9.78,36.52,76.18,65.18,69.74,42.5,140.01,
020829,东财北证50C,2025-08-01,1.8254,1.8254,-0.22,-2.6,-2.54,5.92,30.99,76.15,,,33.37,82.54,82.54
015144,中欧智能制造混合C,2025-08-01,1.4988,1.4988,-1.78,-1.98,6.04,8.44,25.03,75.96,71.98,35.27,34,49.88,49.88
017963,广发医药创新混合发起式C,2025-08-01,1.6082,1.6082,-0.87,5.58,25.13,48.36,81.41,75.95,,,75.66,60.82,60.82
006274,圆信永丰医药健康A,2025-08-01,2.2702,2.2702,0.6,0.31,6.42,20.84,34.1,75.94,39.42,57.59,34.42,127.02,127.02
013356,大摩沪港深精选混合A,2025-08-01,0.8412,0.8412,-1.91,4.12,18.98,37.68,71.29,75.91,22.98,-12.38,68.21,-15.88,-15.88
019784,华安健康主题混合C,2025-08-01,1.5833,1.5833,-1.06,5.08,22.63,46.03,77.28,75.82,,,73.61,58.33,58.33
018227,瑞达先进制造混合型发起式C,2025-08-01,1.4378,1.4378,-0.22,2.51,9.33,43.36,47.26,75.75,44.78,,48.52,43.78,43.78
019029,华宝医药生物混合C,2025-08-01,3.762,4.223,-0.76,4.07,13.04,34.41,72.65,75.63,,,70.53,56.97,56.973797
004206,华商元亨混合A,2025-08-01,2.2154,2.5774,-0.96,4.2,13.16,36.65,28.28,75.57,72.64,84.68,38.54,175.76,175.764322
008923,建信医疗健康行业股票A,2025-08-01,1.6612,1.6612,-1.45,4.68,17.65,41.26,70.01,75.34,59.99,65.67,68.5,66.12,66.12
012982,华夏创新医药龙头混合C,2025-08-01,1.0276,1.0276,-1.51,4.24,15.76,36.36,73.55,75.3,49.51,24.74,71.18,2.76,2.76
013357,大摩沪港深精选混合C,2025-08-01,0.8294,0.8294,-1.93,4.1,18.94,37.52,70.9,75.16,22.02,-13.37,67.79,-17.06,-17.06
020303,信澳星亮智选混合A,2025-08-01,1.6771,1.6771,0.81,0.07,5.94,20.07,29.44,74.92,,,31.3,67.71,67.71
005682,财通资管消费精选混合A,2025-08-01,1.962,1.962,0.75,2.51,19.87,39.8,42.59,74.9,45.54,-3.88,50.96,96.2,96.2
010418,财通景气行业混合A,2025-08-01,1.0231,1.0231,-0.4,2.13,11.25,40.02,27.08,74.89,56.89,34.32,39.81,2.31,2.31
019053,华商元亨混合C,2025-08-01,2.196,2.513,-0.96,4.19,13.13,36.52,28.02,74.87,,,38.22,74.63,74.633263
