基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,手续费
020087,鹏华智投数字经济混合C,2025-08-01,1.6631,1.6631,0.63,0.92,6.75,18.2,27.31,69.69,,,29.85,66.31,66.31
015368,国泰君安领航成长一年持有混合发起A,2025-08-01,1.367,1.367,-1.07,2.99,12.05,22.57,26.54,69.6,39.99,,31.2,36.7,36.7
015857,格林碳中和主题混合C,2025-08-01,1.3397,1.3397,-0.49,-0.14,7.17,17.49,24.3,69.56,34.25,,34.83,33.97,33.97
016495,景顺长城中证港股通科技ETF发起联接A,2025-08-01,1.4222,1.4222,-1.17,-3.13,5.31,9.45,26.43,69.55,28.73,,30.04,42.22,42.22
012079,信澳新能源精选混合A,2025-08-01,1.6672,1.6672,0.52,-2.32,3.78,11.74,14.62,69.53,34.04,2.98,21.72,66.72,66.72
008988,大成科技创新混合A,2025-08-01,1.9391,1.9391,-3.0,6.86,20.91,36.3,40.51,69.46,53.16,27.96,44.18,93.91,93.91
213003,宝盈策略增长混合,2025-08-01,1.2175,2.5175,-1.34,4.41,14.23,33.62,33.34,69.4,51.15,18.32,42.23,229.34,229.341345
015412,西部利得数字产业混合A,2025-08-01,1.4453,1.4453,1.02,0.52,0.37,4.27,13.23,69.34,29.47,51.13,18.23,44.53,44.53
010387,易方达医药生物股票A,2025-08-01,0.9754,0.9754,-0.66,5.85,19.52,37.44,69.66,69.25,56.99,63.49,64.43,-2.46,-2.46
020661,中加科技创新混合发起式A,2025-08-01,1.3862,1.3862,-1.55,3.53,16.98,41.94,34.69,69.21,,,36.58,38.62,38.62
005959,财通新视野灵活配置混合C,2025-08-01,2.6448,2.6448,-0.52,1.8,10.68,39.14,24.19,69.14,50.19,29.92,36.17,164.48,164.48
013238,财通均衡优选一年持有混合A,2025-08-01,1.1247,1.1247,-0.92,-0.57,-0.56,17.3,31.76,69.13,57.06,22.04,34.65,12.47,12.47
003359,大成360互联网+大数据100C,2025-08-01,2.8017,2.8017,0.92,1.33,6.19,20.05,23.1,69.07,40.16,70.11,24.43,148.6,148.598048
010584,渤海汇金新动能主题混合A,2025-08-01,1.179,1.179,1.63,3.32,9.31,27.8,38.19,68.96,34.16,30.94,40.78,17.9,17.9
014564,天弘恒生沪深港创新药精选50ETF发起联接A,2025-08-01,1.2197,1.2197,-2.1,2.83,17.03,31.99,50.39,68.96,26.58,15.56,49.97,21.97,21.97
015369,国泰君安领航成长一年持有混合发起C,2025-08-01,1.3538,1.3538,-1.07,2.98,12.01,22.44,26.29,68.93,38.88,,30.89,35.38,35.38
016496,景顺长城中证港股通科技ETF发起联接C,2025-08-01,1.4073,1.4073,-1.17,-3.15,5.27,9.34,26.17,68.88,27.7,,29.74,40.73,40.73
019318,汇添富国证2000指数增强A,2025-08-01,1.4804,1.4804,0.37,-0.11,7.17,22.48,31.83,68.86,,,31.86,48.04,48.04
005142,国联沪港深大消费主题A,2025-08-01,0.8811,0.8811,-1.44,-2.93,3.88,12.56,38.41,68.79,25.44,30.8,39.35,-11.89,-11.89
008359,华安医疗创新混合A,2025-08-01,1.4107,1.4107,-1.34,5.35,23.37,44.63,72.77,68.78,44.88,28.65,69.56,41.07,41.07
020151,中信保诚景气优选混合A,2025-08-01,1.7221,1.7221,0.67,-0.12,4.17,15.64,32.52,68.78,,,36.38,72.21,72.21
008989,大成科技创新混合C,2025-08-01,1.8986,1.8986,-3.0,6.85,20.87,36.16,40.25,68.75,51.92,26.42,43.88,89.86,89.86
009665,汇添富医疗积极成长一年持有混合C,2025-08-01,0.7785,0.7785,-1.54,4.09,18.13,33.95,64.03,68.73,20.75,-5.37,62.53,-22.15,-22.15
015413,西部利得数字产业混合C,2025-08-01,1.4278,1.4278,1.02,0.51,0.33,4.17,13.02,68.71,28.47,49.35,17.98,42.78,42.78
010388,易方达医药生物股票C,2025-08-01,0.9574,0.9574,-0.67,5.83,19.47,37.38,69.39,68.59,55.78,61.61,64.14,-4.26,-4.26
018287,信澳优势产业混合A,2025-08-01,1.5906,1.5906,0.09,4.9,11.32,35.38,21.28,68.57,63.93,,28.97,59.06,59.06
165531,中信保诚多策略混合(LOF)A,2025-08-01,2.0877,2.1934,0.77,0,4.31,15.97,30.76,68.53,61.14,88.56,35.62,129.69,129.691368
014565,天弘恒生沪深港创新药精选50ETF发起联接C,2025-08-01,1.2099,1.2099,-2.1,2.82,17,31.9,50.2,68.53,25.94,14.69,49.76,20.99,20.99
010434,红土创新医疗保健股票,2025-08-01,1.5842,1.5842,2.07,8.21,22.95,55.09,77.48,68.5,43.13,74.11,73.27,58.42,58.42
020500,广发中证港股通非银ETF发起式联接A,2025-08-01,1.6573,1.6573,-2.28,-2.8,7.61,30.13,37.75,68.49,,,35.67,65.73,65.73
019933,工银国证港股通科技ETF发起式联接A,2025-08-01,1.54,1.54,-1.04,-3.56,3.66,7.99,22.87,68.43,,,26.01,54,54
020662,中加科技创新混合发起式C,2025-08-01,1.3761,1.3761,-1.55,3.51,16.94,41.73,34.31,68.37,,,36.13,37.61,37.61
005143,国联沪港深大消费主题C,2025-08-01,0.8684,0.8684,-1.43,-2.93,3.88,12.52,38.32,68.36,24.84,29.94,39.23,-13.16,-13.16
000714,诺安稳健回报混合A,2025-08-01,1.562,1.73,-0.38,-1.2,5.83,14.35,29.41,68.32,43.57,13.93,40.47,76.92,76.924152
