基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,手续费
011043,国泰价值先锋股票C,2025-08-01,1.0075,1.0075,-2.16,1.7,12.31,24.58,42.44,58.39,16.72,-2.49,42.4,0.75,0.75
501098,建信优享科技创新混合(LOF),2025-08-01,1.284,1.284,-1.22,1.76,8.54,10.07,20.1,58.34,25.98,5.33,22.02,28.4,28.4
161628,融通中证云计算与大数据主题指数(LOF)A,2025-08-01,1.4356,1.0227,-0.52,1.36,11.13,16.55,20.47,58.33,17.32,70.5,18.92,6.44,6.435614
006502,财通集成电路产业股票A,2025-08-01,2.3872,2.3872,-1.94,6.7,28.6,42.69,21.54,58.28,51.86,27.79,21.58,138.72,138.72
014423,汇丰晋信研究精选混合,2025-08-01,0.8583,0.8583,1.24,-2.58,12.71,24.12,32.6,58.12,1.83,-13.23,29.57,-14.17,-14.17
015245,南华丰汇混合A,2025-08-01,1.6751,1.6751,0.54,-1.57,6.13,21.66,28.74,58.12,30.89,40.22,30.22,67.51,67.51
013641,博道成长智航股票A,2025-08-01,1.2393,1.2393,0.25,0.42,6.45,18.05,23.88,58.09,35.96,35.37,24.8,23.93,23.93
015570,创金合信医药优选3个月持有混合A,2025-08-01,1.0227,1.0227,0.78,5.35,20.74,27.6,55.47,58.09,23.38,,53.12,2.27,2.27
021615,华泰紫金中证全指软件指数型发起C,2025-08-01,1.5669,1.5669,0.15,0.01,6.24,9.5,11.67,58.08,,,11.58,56.69,56.69
004320,前海开源沪港深乐享生活,2025-08-01,1.9136,1.9136,-1.97,5.51,19.21,43.84,15.6,58.07,20.72,23.61,24.33,91.36,91.36
013133,创金合信文娱媒体股票发起C,2025-08-01,1.4327,1.4327,-0.07,-1.6,4.74,10.14,20.22,58.06,32.61,71.25,19.34,43.27,43.27
001420,南方大数据300A,2025-08-01,1.6814,1.6814,0.21,0.81,6.53,19,22.95,57.95,24.24,20.19,26.74,68.14,68.14
010391,易方达战略新兴产业股票A,2025-08-01,1.1021,1.1021,-2.43,4.23,16.87,28.57,30.91,57.94,46.38,26.93,33.18,10.21,10.21
020315,嘉实前沿科技沪港深股票C,2025-08-01,1.9482,1.9482,-0.46,-2.93,3.07,6.37,26.29,57.94,,,29.79,24.65,24.652889
015554,融通价值成长混合C,2025-08-01,1.2999,1.2999,0.37,-0.15,10.09,24.63,38.2,57.93,27.22,31.09,30.03,29.99,29.99
018089,东财远见成长C,2025-08-01,0.9172,0.9172,-0.94,2.19,15.94,29.84,42.4,57.87,5.33,,40.39,-8.28,-8.28
003670,国联物联网主题A,2025-08-01,1.7706,1.7706,-0.02,1.13,6.27,28.3,24.37,57.86,30.37,1.62,24.87,77.06,77.06
011035,嘉实中证稀土产业ETF联接A,2025-08-01,0.9624,0.9624,-1.77,-4.73,14.22,28.12,30.21,57.77,22.02,-3.41,31.1,-3.76,-3.76
001628,招商体育文化休闲股票A,2025-08-01,1.874,1.874,1.74,3.08,5.88,16.11,22.08,57.74,15.82,36.39,20.05,87.4,87.4
003308,中信建投睿利A,2025-08-01,1.3936,1.5759,0.81,-0.11,6.7,17.31,26.97,57.72,31.38,20.51,27.4,64.25,64.245227
014331,华泰柏瑞中证稀土产业ETF发起式联接A,2025-08-01,0.9255,0.9255,-1.74,-4.52,13.14,27.18,29.4,57.72,23.71,-0.76,30.54,-7.45,-7.45
009909,嘉实动力先锋混合A,2025-08-01,0.8628,0.8628,-1.27,-1.84,6.32,13.05,28.01,57.7,4.93,-4.77,27.14,-13.72,-13.72
